,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
44,0.866,0.259,124.029,0.315,0.237,0.0,0.554,275293,-2.536,0.844,3lxMMLhHcctD8jux719V14,Energetic
45,0.859,0.0701,79.953,0.113,0.4,0.000844,0.772,258000,-4.281,0.406,1hSLQTWi5io7Doq8h9vPcV,Energetic
46,0.862,0.0613,84.812,0.212,0.0947,0.00107,0.547,282760,-4.987,0.758,2XMS8RNuiyN9pYWURDL3sf,Energetic
47,0.716,0.233,99.002,0.0841,0.53,1.6e-06,0.731,334733,-9.865,0.814,6LZMyXLR6hU4RkXXeFwhNd,Energetic
48,0.815,0.0948,120.009,0.0539,0.279,0.000451,0.804,258000,-4.424,0.968,0YsBr7XFEapZmYeU5a9IFz,Energetic
49,0.855,0.264,75.003,0.161,0.503,5.37e-05,0.691,265853,-6.841,0.847,3EPxiSj3RsjMMdKCM7pthV,Energetic
50,0.904,0.0717,80.012,0.122,0.357,0.000186,0.761,284600,-7.048,0.821,6yvJxk8W65Vu5ypSNbOHu8,Energetic
51,0.763,0.043,107.049,0.586,0.367,0.0,0.643,240140,-6.771,0.88,3x5GBpM7Dy4gckH5a2VN0f,Energetic
52,0.898,0.0885,81.505,0.0634,0.0684,0.0213,0.448,252006,-8.578,0.871,0AxYx3s5hYVbGgYmoiso6B,Energetic
53,0.774,0.382,126.981,0.0792,0.0687,0.0,0.718,259045,-4.786,0.578,1NSOZUSa5lXPvESy3AydYR,Energetic
54,0.917,0.168,122.94,0.186,0.201,0.0,0.766,333600,-5.613,0.624,4ahGwgXx9T2Rn93BQSnymW,Energetic
55,0.899,0.0769,137.934,0.429,0.323,0.00683,0.679,282040,-5.243,0.698,7Bsg8wLLAqIWw22Ta8iCkr,Energetic
56,0.739,0.431,75.068,0.235,0.236,0.0,0.772,276547,-10.85,0.918,5ckLwrelwUB4JhruopRudM,Energetic
57,0.86,0.0399,167.904,0.169,0.0809,0.0,0.655,292400,-4.432,0.659,4tzRU8Fcu1uOqpddEcUOqe,Energetic
58,0.947,0.267,170.012,0.279,0.553,0.003,0.708,337200,-2.461,0.798,4yFeIf8l5kMPa2D4v7kl0G,Energetic
59,0.9,0.037,134.68,0.178,0.101,0.000428,0.856,298993,-6.738,0.824,3u3NDeXrcLDhJgqdJsBTPW,Energetic
60,0.836,0.0599,88.913,0.137,0.0431,0.0,0.705,212739,-5.71,0.849,0E4h6VPzRycF5n8jE4dT1l,Energetic
61,0.941,0.0969,130.014,0.0429,0.0847,0.853,0.806,234823,-7.314,0.878,4OoZOAGPA8ZQe2xrAa9aMQ,Energetic
62,0.95,0.169,119.921,0.247,0.0268,0.0493,0.555,254068,-8.065,0.763,6UOs09KTOGd2h7KytnaDZr,Energetic
